Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,2.89,2.92,2.85,2.90,50600,2.90
2011-08-01,3.02,3.02,2.85,2.87,81600,2.87
2011-07-29,3.00,3.03,2.90,2.95,93800,2.95
2011-07-28,3.07,3.15,3.05,3.08,145200,3.08
2011-07-27,3.00,3.19,3.00,3.09,227200,3.09
2011-07-26,3.10,3.10,2.96,2.98,159900,2.98
2011-07-25,3.01,3.10,2.98,3.09,98900,3.09
2011-07-22,3.09,3.09,3.01,3.03,78200,3.03
2011-07-21,3.00,3.09,2.91,3.08,113800,3.08
2011-07-20,2.90,3.08,2.89,3.02,381300,3.02
2011-07-19,2.92,2.92,2.85,2.85,104900,2.85
2011-07-18,3.00,3.02,2.82,2.95,214900,2.95
2011-07-15,3.05,3.12,3.00,3.01,153700,3.01
2011-07-14,3.07,3.08,2.97,3.03,250500,3.03
2011-07-13,2.80,3.04,2.80,2.97,337400,2.97
2011-07-12,2.69,2.81,2.66,2.79,139800,2.79
2011-07-11,2.75,2.75,2.64,2.71,79400,2.71
2011-07-08,2.60,2.75,2.55,2.75,101100,2.75
2011-07-07,2.76,2.76,2.58,2.63,172900,2.63
2011-07-06,2.75,2.83,2.72,2.74,260200,2.74
2011-07-05,2.61,2.79,2.60,2.75,126200,2.75
2011-07-01,2.73,2.73,2.57,2.60,206300,2.60
2011-06-30,2.74,2.82,2.68,2.69,229000,2.69
2011-06-29,2.62,2.70,2.50,2.67,163100,2.67
2011-06-28,2.49,2.65,2.49,2.65,410200,2.65
2011-06-27,2.45,2.50,2.45,2.46,79400,2.46
2011-06-24,2.48,2.52,2.41,2.42,121900,2.42
2011-06-23,2.53,2.55,2.40,2.48,448900,2.48
2011-06-22,2.60,2.64,2.50,2.51,1948700,2.51
2011-06-21,3.06,3.21,2.77,2.80,470500,2.80
2011-06-20,3.56,3.57,3.05,3.06,140300,3.06
2011-06-17,3.25,3.58,3.01,3.08,92400,3.08
2011-06-16,3.33,3.60,3.16,3.22,94100,3.22
2011-06-15,3.40,3.65,3.31,3.33,48600,3.33
2011-06-14,3.17,3.40,3.17,3.40,50700,3.40
2011-06-13,3.32,3.39,3.15,3.15,87700,3.15
2011-06-10,3.37,3.37,3.27,3.32,55200,3.32
2011-06-09,3.39,3.50,3.20,3.25,124800,3.25
2011-06-08,3.85,3.85,3.30,3.33,204800,3.33
2011-06-07,3.75,3.96,3.75,3.89,69800,3.89
2011-06-06,4.00,4.00,3.70,3.75,109800,3.75
2011-06-03,3.95,4.00,3.81,4.00,74300,4.00
2011-06-02,4.36,4.36,3.90,3.95,157600,3.95
2011-06-01,4.46,4.46,4.26,4.38,33800,4.38
2011-05-31,5.05,5.05,4.22,4.40,142100,4.40
2011-05-27,4.69,5.24,4.66,4.80,331600,4.80
2011-05-26,4.25,4.65,4.25,4.62,274800,4.62
2011-05-25,4.00,4.20,3.96,4.20,91900,4.20
2011-05-24,4.16,4.16,3.81,4.05,82000,4.05
2011-05-23,3.96,4.18,3.90,4.07,127500,4.07
2011-05-20,4.03,4.10,3.95,4.05,62600,4.05
2011-05-19,4.10,4.10,3.97,4.00,73200,4.00
2011-05-18,3.85,4.11,3.85,4.10,112600,4.10
2011-05-17,4.01,4.01,3.76,3.82,70300,3.82
2011-05-16,4.09,4.10,3.98,4.02,67000,4.02
2011-05-13,4.03,4.10,3.93,4.02,52500,4.02
2011-05-12,4.06,4.10,3.93,4.05,31400,4.05
2011-05-11,4.10,4.10,3.84,3.91,78700,3.91
2011-05-10,3.79,4.20,3.75,4.10,160600,4.10
2011-05-09,3.81,3.81,3.66,3.74,41200,3.74
2011-05-06,3.73,3.82,3.66,3.68,32000,3.68
2011-05-05,3.74,3.96,3.60,3.65,86600,3.65
2011-05-04,4.03,4.16,3.63,3.70,83000,3.70
2011-05-03,4.17,4.17,3.88,3.98,120200,3.98
2011-05-02,3.77,4.23,3.75,4.10,308400,4.10
2011-04-29,3.52,3.70,3.41,3.60,87000,3.60
2011-04-28,3.29,3.56,3.25,3.44,131000,3.44
2011-04-27,3.10,3.20,3.02,3.20,73200,3.20
2011-04-26,3.17,3.17,3.07,3.11,28400,3.11
2011-04-25,3.20,3.20,3.03,3.10,27800,3.10
2011-04-21,3.00,3.25,2.98,3.18,73600,3.18
2011-04-20,2.98,2.98,2.94,2.98,32600,2.98
2011-04-19,2.81,2.99,2.81,2.94,35100,2.94
2011-04-18,2.90,2.92,2.81,2.83,21900,2.83
2011-04-15,2.93,2.95,2.85,2.86,52800,2.86
2011-04-14,2.75,2.84,2.71,2.84,57700,2.84
2011-04-13,2.71,2.89,2.53,2.73,86700,2.73
2011-04-12,2.93,2.93,2.75,2.78,41700,2.78
2011-04-11,3.06,3.06,2.91,2.91,32100,2.91
2011-04-08,3.02,3.08,3.00,3.00,35200,3.00
2011-04-07,3.09,3.09,3.02,3.02,42400,3.02
2011-04-06,3.11,3.15,3.08,3.10,20600,3.10
2011-04-05,3.15,3.19,3.10,3.14,19400,3.14
2011-04-04,3.23,3.23,3.15,3.15,20000,3.15
2011-04-01,3.21,3.24,3.15,3.19,58300,3.19
2011-03-31,3.03,3.48,3.03,3.16,186400,3.16
2011-03-30,3.06,3.07,2.98,3.06,30200,3.06
2011-03-29,3.05,3.08,3.00,3.04,25800,3.04
2011-03-28,2.86,3.13,2.83,3.02,51200,3.02
2011-03-25,2.89,2.92,2.80,2.81,135200,2.81
2011-03-24,3.02,3.03,2.87,2.89,59300,2.89
2011-03-23,3.15,3.19,3.02,3.02,83100,3.02
2011-03-22,3.27,3.27,3.15,3.19,32100,3.19
