"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GIII","G-III Apparel Group, LTD.","49.36","999189642.72","n/a","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GIL","Gildan Activewear, Inc.","42.68","5197872915.84","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/gil",
"GNC","GNC Holdings, Inc.","46.95","4616094186.75","n/a","1980","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/gnc",
"GLDC","Golden Enterprises, Inc.","3.61","42354801.52","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gldc",
"GMCR","Green Mountain Coffee Roasters, Inc.","68.88","10276267125.6","n/a","1993","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gmcr",
"GMK","GRUMA, S.A. de C.V.","18.43","2107081811.3","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gmk",
"GES","Guess?, Inc.","32.54","2760938496.04","n/a","1996","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ges",
"HOG","Harley-Davidson, Inc.","55.96","12542808143.36","n/a","n/a","Consumer Non-Durables","Motor Vehicles","http://www.nasdaq.com/symbol/hog",
"HAR","Harman International Industries, Incorporated","55.25","3754378221.75","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/har",
"HAS","Hasbro, Inc.","47.64","6163367022.12","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has",
"HSY","Hershey Company (The)","91.69","20513820754.34","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/hsy",
"HSH","Hillshire Brands Company (The)","34.33","4225106148.69","n/a","1997","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/hsh",
"HRL","Hormel Foods Corporation","40.98","10853202129.24","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/hrl",
"HWCC","Houston Wire & Cable Company","14.7","263288671.8","n/a","2006","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/hwcc",
"ICON","Iconix Brand Group, Inc.","32.26","1788183994.28","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/icon",
"IBA","Industrias Bachoco, S.A. de C.V.","39.01","1950500000","n/a","1997","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/iba",
"IFON","InfoSonics Corp","0.5295","7510505.307","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/ifon",
"INGR","Ingredion Incorporated","69.46","5381135660","n/a","1981","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/ingr",
"IPAR","Inter Parfums, Inc.","33.26","1022751951.34","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ipar",
"SNAK","Inventure Foods, Inc.","9.46","181750779.76","n/a","1996","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/snak",
"ITRN","Ituran Location and Control Ltd.","16.99","398847572.69","n/a","1984","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/itrn",
"JJSF","J & J Snack Foods Corp.","82.41","1550043591.66","n/a","1986","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jjsf",
"SJM","J.M. Smucker Company (The)","106.01","11235032982.79","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/sjm",
"JAKK","JAKKS Pacific, Inc.","11.37","253623063.06","n/a","1996","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jakk",
"JOEZ","Joe&#39;s Jeans Inc.","1.84","125098486.72","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/joez",
"JBSS","John B. Sanfilippo & Son, Inc.","20.53","225573498.18","n/a","1991","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jbss",
"JOUT","Johnson Outdoors Inc.","25.2","250181618.4","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jout",
"JNY","Jones Group, Inc. (The)","16.06","1286281663.48","n/a","1991","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/jny",
"K","Kellogg Company","66.5","24456979312.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/k",
"KOSS","Koss Corporation","5.25","38758986","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/koss",
"KRFT","Kraft Foods Group, Inc.","56.69","33700543756.24","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/krft",
"KKD","Krispy Kreme Doughnuts, Inc.","20.1","1316279072.1","n/a","n/a","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/kkd",
"LANC","Lancaster Colony Corporation","83.97","2293724520","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lanc",
"GAGA","Le Gaga Holdings Limited","3.69","52003177.38","14093002","2010","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gaga",
"LBIX","Leading Brands Inc","4.6973","13765348.4013","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/lbix",
"LF","Leapfrog Enterprises Inc","11.19","762334449.57","n/a","2002","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/lf",
"LUK","Leucadia National Corporation","26.77","9754663842.07","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/luk",
"LWAY","Lifeway Foods, Inc.","17.83","291449483.11","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lway",
"LMNR","Limoneira Co","21.1","280755144.1","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lmnr",
"JADE","LJ International, Inc.","1.98","63503890.56","n/a","1998","Consumer Non-Durables","Consumer Specialties","http://www.nasdaq.com/symbol/jade",
"LO","Lorillard, Inc","46.17","17440916308.02","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lo",
"LRAD","LRAD Corporation","1.17","37954447.83","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/lrad",
"LULU","lululemon athletica inc.","66.36","7414982720.04","n/a","2007","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/lulu",
